ORDER_ID,EVENT_TYPE,EVENT_TIMESTAMP,CUSTOMER_ID,RESTAURANT_ID,ORDER_DATE,TOTAL_AMOUNT,STATUS,PAYMENT_METHOD
39,ORDER_CREATED,2025-12-02 18:14:53.836 -0800,1064,209,2025-12-01 02:44:15.836 -0800,1485,CONFIRMED,CASH_ON_DELIVERY
40,ORDER_CREATED,2025-12-18 22:43:53.836 -0800,1027,205,2025-12-03 16:19:16.836 -0800,1089,CANCELLED,UPI
41,ORDER_CREATED,2025-12-16 00:20:04.836 -0800,1053,217,2025-12-11 01:21:22.836 -0800,1646,PLACED,DEBIT_CARD
42,ORDER_CREATED,2025-12-20 06:23:45.836 -0800,1099,218,2025-12-20 19:41:52.836 -0800,524,DELIVERED,UPI
43,ORDER_CREATED,2025-12-12 05:35:19.836 -0800,1093,212,2025-11-27 13:50:23.836 -0800,1036,CANCELLED,DEBIT_CARD
44,ORDER_CREATED,2025-12-12 07:45:32.836 -0800,1018,207,2025-12-21 01:34:27.836 -0800,1088,CONFIRMED,UPI
45,ORDER_CREATED,2025-12-21 09:13:51.836 -0800,1031,219,2025-12-13 03:44:52.836 -0800,1365,CONFIRMED,DEBIT_CARD
46,ORDER_CREATED,2025-12-17 07:26:57.836 -0800,1029,207,2025-12-01 18:10:21.836 -0800,1941,CONFIRMED,DEBIT_CARD
47,ORDER_CREATED,2025-11-24 13:02:08.836 -0800,1088,220,2025-12-17 19:41:03.836 -0800,1707,CONFIRMED,CREDIT_CARD
48,ORDER_CREATED,2025-12-19 06:03:37.836 -0800,1017,202,2025-12-13 12:22:47.836 -0800,337,OUT_FOR_DELIVERY,CREDIT_CARD
49,ORDER_CREATED,2025-12-18 08:53:24.836 -0800,1015,219,2025-12-09 18:00:55.836 -0800,539,CANCELLED,UPI
50,ORDER_CREATED,2025-12-18 16:33:11.836 -0800,1092,218,2025-12-15 06:25:23.836 -0800,1736,PREPARING,CREDIT_CARD
51,ORDER_CREATED,2025-12-23 16:52:38.836 -0800,1096,209,2025-11-25 11:56:33.836 -0800,612,OUT_FOR_DELIVERY,CREDIT_CARD
52,ORDER_CREATED,2025-12-21 15:17:03.836 -0800,1024,214,2025-12-02 08:15:59.836 -0800,1681,CONFIRMED,DEBIT_CARD
53,ORDER_CREATED,2025-12-15 02:31:15.836 -0800,1087,204,2025-11-26 00:03:24.836 -0800,1511,OUT_FOR_DELIVERY,UPI
54,ORDER_CREATED,2025-12-22 07:51:10.836 -0800,1077,213,2025-12-16 20:17:13.836 -0800,917,DELIVERED,UPI
55,ORDER_CREATED,2025-12-23 13:59:50.836 -0800,1008,211,2025-12-13 05:20:51.836 -0800,1855,OUT_FOR_DELIVERY,DEBIT_CARD
56,ORDER_CREATED,2025-12-08 01:03:25.836 -0800,1069,212,2025-12-08 22:06:23.836 -0800,1686,OUT_FOR_DELIVERY,UPI
57,ORDER_CREATED,2025-12-08 10:23:53.836 -0800,1076,216,2025-12-02 16:53:57.836 -0800,509,DELIVERED,CASH_ON_DELIVERY
58,ORDER_CREATED,2025-12-21 06:41:10.836 -0800,1024,205,2025-12-07 13:21:03.836 -0800,592,CANCELLED,UPI
59,ORDER_CREATED,2025-12-11 22:28:33.836 -0800,1043,208,2025-11-25 00:08:54.836 -0800,1219,PLACED,CREDIT_CARD
60,ORDER_CREATED,2025-11-27 14:15:16.836 -0800,1037,215,2025-11-24 06:20:55.836 -0800,467,OUT_FOR_DELIVERY,UPI
61,ORDER_CREATED,2025-12-22 00:05:17.836 -0800,1044,205,2025-12-23 14:45:55.836 -0800,1276,OUT_FOR_DELIVERY,WALLET
62,ORDER_CREATED,2025-12-14 07:05:24.836 -0800,1021,212,2025-12-01 01:32:32.836 -0800,426,PREPARING,DEBIT_CARD
63,ORDER_CREATED,2025-12-16 05:52:48.836 -0800,1040,217,2025-12-07 08:11:29.836 -0800,1870,PLACED,WALLET
64,ORDER_CREATED,2025-12-05 08:46:07.836 -0800,1026,214,2025-12-17 09:47:55.836 -0800,777,OUT_FOR_DELIVERY,UPI
65,ORDER_CREATED,2025-12-01 18:14:43.836 -0800,1005,217,2025-11-30 21:12:35.836 -0800,386,CONFIRMED,CREDIT_CARD
66,ORDER_CREATED,2025-12-02 05:10:46.836 -0800,1075,211,2025-12-23 05:37:34.836 -0800,700,DELIVERED,CASH_ON_DELIVERY
67,ORDER_CREATED,2025-12-16 18:23:55.836 -0800,1077,217,2025-12-16 13:55:51.836 -0800,793,CANCELLED,DEBIT_CARD
68,ORDER_CREATED,2025-12-07 02:28:24.836 -0800,1067,211,2025-12-07 03:11:52.836 -0800,1060,PREPARING,CASH_ON_DELIVERY
69,ORDER_CREATED,2025-12-08 19:25:47.836 -0800,1070,213,2025-12-11 20:01:50.836 -0800,718,OUT_FOR_DELIVERY,DEBIT_CARD
70,ORDER_CREATED,2025-12-19 03:30:23.836 -0800,1097,219,2025-11-26 01:03:21.836 -0800,1809,CANCELLED,UPI
71,ORDER_CREATED,2025-12-07 16:13:36.836 -0800,1097,210,2025-12-03 07:40:17.836 -0800,278,CONFIRMED,UPI
72,ORDER_CREATED,2025-12-08 17:25:23.836 -0800,1037,212,2025-12-06 21:57:10.836 -0800,1079,PLACED,UPI
73,ORDER_CREATED,2025-12-05 09:53:11.836 -0800,1038,210,2025-12-08 18:47:12.836 -0800,192,CONFIRMED,CASH_ON_DELIVERY
74,ORDER_CREATED,2025-12-07 12:03:04.836 -0800,1063,205,2025-11-24 22:33:52.836 -0800,1812,DELIVERED,CASH_ON_DELIVERY
75,ORDER_CREATED,2025-12-19 08:26:21.836 -0800,1056,211,2025-12-03 11:15:18.836 -0800,417,OUT_FOR_DELIVERY,CASH_ON_DELIVERY
76,ORDER_CREATED,2025-12-16 10:46:36.836 -0800,1039,213,2025-12-20 13:10:03.836 -0800,541,OUT_FOR_DELIVERY,CREDIT_CARD
77,ORDER_CREATED,2025-12-11 10:55:54.836 -0800,1029,201,2025-12-05 12:25:45.836 -0800,998,PREPARING,WALLET
78,ORDER_CREATED,2025-12-21 06:45:57.836 -0800,1025,202,2025-12-15 02:48:41.836 -0800,238,OUT_FOR_DELIVERY,CASH_ON_DELIVERY
79,ORDER_CREATED,2025-11-25 14:20:21.836 -0800,1099,211,2025-12-07 12:15:22.836 -0800,699,CONFIRMED,WALLET
80,ORDER_CREATED,2025-12-13 06:58:35.836 -0800,1077,220,2025-12-07 08:16:56.836 -0800,852,DELIVERED,DEBIT_CARD
81,ORDER_CREATED,2025-12-06 23:16:08.836 -0800,1014,214,2025-12-23 04:21:37.836 -0800,413,DELIVERED,WALLET
82,ORDER_CREATED,2025-12-13 05:53:07.836 -0800,1081,209,2025-12-10 08:16:14.836 -0800,793,PREPARING,WALLET
83,ORDER_CREATED,2025-12-14 11:24:30.836 -0800,1053,216,2025-12-08 12:06:05.836 -0800,1969,CANCELLED,UPI
84,ORDER_CREATED,2025-12-14 07:27:34.836 -0800,1043,216,2025-12-18 17:00:54.836 -0800,689,PLACED,CREDIT_CARD
85,ORDER_CREATED,2025-12-08 22:36:20.836 -0800,1063,210,2025-12-19 14:39:49.836 -0800,358,CANCELLED,CREDIT_CARD
86,ORDER_CREATED,2025-12-23 08:09:01.836 -0800,1030,215,2025-11-25 17:25:52.836 -0800,1063,DELIVERED,DEBIT_CARD
87,ORDER_CREATED,2025-11-29 21:36:25.836 -0800,1037,204,2025-12-07 20:51:56.836 -0800,1289,OUT_FOR_DELIVERY,UPI
88,ORDER_CREATED,2025-12-02 22:06:51.836 -0800,1087,218,2025-11-29 05:20:38.836 -0800,1183,DELIVERED,WALLET
89,ORDER_CREATED,2025-12-20 00:59:54.836 -0800,1079,216,2025-12-14 21:12:13.836 -0800,202,OUT_FOR_DELIVERY,CREDIT_CARD
90,ORDER_CREATED,2025-12-11 18:04:30.836 -0800,1049,216,2025-12-02 22:41:12.836 -0800,678,PREPARING,WALLET
91,ORDER_CREATED,2025-12-08 09:06:04.836 -0800,1010,201,2025-12-20 15:41:41.836 -0800,1207,PLACED,DEBIT_CARD
92,ORDER_CREATED,2025-12-11 22:24:01.836 -0800,1085,211,2025-12-13 22:40:01.836 -0800,463,PLACED,WALLET
93,ORDER_CREATED,2025-12-16 14:42:19.836 -0800,1030,208,2025-12-11 11:54:50.836 -0800,506,CANCELLED,UPI
94,ORDER_CREATED,2025-11-29 09:32:01.836 -0800,1063,213,2025-11-24 18:51:47.836 -0800,968,PLACED,DEBIT_CARD
95,ORDER_CREATED,2025-11-24 22:38:20.836 -0800,1032,217,2025-12-01 00:24:15.836 -0800,1434,CONFIRMED,CASH_ON_DELIVERY
96,ORDER_CREATED,2025-12-07 10:17:41.836 -0800,1038,208,2025-12-01 19:07:03.836 -0800,1621,CONFIRMED,CREDIT_CARD
97,ORDER_CREATED,2025-12-20 07:27:53.836 -0800,1082,209,2025-12-13 14:06:58.836 -0800,190,PLACED,WALLET
98,ORDER_CREATED,2025-12-07 18:16:34.836 -0800,1028,206,2025-12-21 08:16:39.836 -0800,1510,OUT_FOR_DELIVERY,WALLET
99,ORDER_CREATED,2025-12-22 18:23:16.836 -0800,1075,204,2025-12-10 11:43:13.836 -0800,1039,PREPARING,CASH_ON_DELIVERY
100,ORDER_CREATED,2025-12-23 12:42:06.836 -0800,1017,201,2025-12-11 04:12:28.836 -0800,1422,DELIVERED,WALLET
101,ORDER_CREATED,2025-12-17 18:27:52.836 -0800,1006,204,2025-11-25 16:27:01.836 -0800,650,PREPARING,UPI
102,ORDER_CREATED,2025-12-07 13:45:07.836 -0800,1002,202,2025-12-22 07:26:18.836 -0800,1721,PLACED,WALLET
103,ORDER_CREATED,2025-12-16 06:14:17.836 -0800,1095,211,2025-12-08 14:44:09.836 -0800,891,CONFIRMED,CREDIT_CARD
104,ORDER_CREATED,2025-12-05 20:25:57.836 -0800,1058,211,2025-12-02 09:02:55.836 -0800,1197,OUT_FOR_DELIVERY,DEBIT_CARD
105,ORDER_CREATED,2025-12-01 09:56:09.836 -0800,1047,209,2025-12-03 09:32:47.836 -0800,1831,OUT_FOR_DELIVERY,CREDIT_CARD
106,ORDER_CREATED,2025-12-20 08:41:22.836 -0800,1086,208,2025-11-26 03:03:22.836 -0800,219,DELIVERED,CREDIT_CARD
107,ORDER_CREATED,2025-12-21 04:12:22.836 -0800,1002,202,2025-12-15 02:12:16.836 -0800,1077,PLACED,DEBIT_CARD
108,ORDER_CREATED,2025-12-08 17:51:33.836 -0800,1011,211,2025-12-20 05:15:30.836 -0800,435,DELIVERED,DEBIT_CARD
109,ORDER_CREATED,2025-12-03 03:29:06.836 -0800,1018,214,2025-11-25 23:48:20.836 -0800,123,CONFIRMED,WALLET
110,ORDER_CREATED,2025-12-14 21:10:22.836 -0800,1097,214,2025-12-16 01:05:15.836 -0800,667,PLACED,CASH_ON_DELIVERY
111,ORDER_CREATED,2025-12-08 04:01:32.836 -0800,1031,216,2025-11-25 08:27:21.836 -0800,680,PLACED,CREDIT_CARD
112,ORDER_CREATED,2025-12-18 00:54:01.836 -0800,1046,204,2025-12-06 18:33:38.836 -0800,532,OUT_FOR_DELIVERY,CREDIT_CARD
113,ORDER_CREATED,2025-12-15 04:12:27.836 -0800,1085,204,2025-12-22 04:25:32.836 -0800,1032,DELIVERED,UPI
114,ORDER_CREATED,2025-11-27 17:39:20.836 -0800,1060,206,2025-12-04 21:16:11.836 -0800,1831,PREPARING,DEBIT_CARD
115,ORDER_CREATED,2025-12-15 21:52:38.836 -0800,1039,208,2025-11-24 06:07:56.836 -0800,949,OUT_FOR_DELIVERY,CREDIT_CARD
116,ORDER_CREATED,2025-12-23 17:27:04.836 -0800,1012,202,2025-12-16 07:20:38.836 -0800,1153,CONFIRMED,UPI
117,ORDER_CREATED,2025-12-11 17:23:55.836 -0800,1033,205,2025-12-20 00:46:05.836 -0800,1681,PREPARING,CREDIT_CARD
118,ORDER_CREATED,2025-12-06 14:19:26.836 -0800,1081,213,2025-12-12 17:13:54.836 -0800,1824,PLACED,UPI
119,ORDER_CREATED,2025-12-19 07:46:47.836 -0800,1085,216,2025-12-03 20:50:28.836 -0800,918,PREPARING,CASH_ON_DELIVERY
120,ORDER_CREATED,2025-12-16 14:31:38.836 -0800,1077,210,2025-12-06 21:05:31.836 -0800,1859,CANCELLED,UPI
121,ORDER_CREATED,2025-12-13 18:03:02.836 -0800,1036,212,2025-11-25 22:00:42.836 -0800,1762,OUT_FOR_DELIVERY,CASH_ON_DELIVERY
122,ORDER_CREATED,2025-12-15 20:43:17.836 -0800,1023,212,2025-12-10 20:14:41.836 -0800,1998,CANCELLED,WALLET
123,ORDER_CREATED,2025-12-13 21:52:20.836 -0800,1016,204,2025-12-23 19:05:46.836 -0800,964,PLACED,CASH_ON_DELIVERY
124,ORDER_CREATED,2025-11-27 15:49:19.836 -0800,1010,209,2025-11-24 13:33:54.836 -0800,1290,PREPARING,CASH_ON_DELIVERY
125,ORDER_CREATED,2025-12-01 14:53:00.836 -0800,1034,220,2025-12-01 06:35:54.836 -0800,438,CANCELLED,DEBIT_CARD
126,ORDER_CREATED,2025-12-11 13:58:25.836 -0800,1024,215,2025-11-27 08:27:27.836 -0800,894,CANCELLED,CREDIT_CARD
127,ORDER_CREATED,2025-12-08 09:38:07.836 -0800,1054,205,2025-12-20 06:29:58.836 -0800,1074,OUT_FOR_DELIVERY,DEBIT_CARD
128,ORDER_CREATED,2025-12-10 02:21:52.836 -0800,1013,212,2025-12-01 04:03:29.836 -0800,374,CONFIRMED,UPI
129,ORDER_CREATED,2025-12-16 07:50:56.836 -0800,1047,202,2025-11-29 16:16:19.836 -0800,1693,PLACED,UPI
130,ORDER_CREATED,2025-11-30 10:37:36.836 -0800,1030,220,2025-12-11 16:31:53.836 -0800,1481,PREPARING,CASH_ON_DELIVERY
131,ORDER_CREATED,2025-12-13 12:38:34.836 -0800,1058,219,2025-12-03 15:24:11.836 -0800,1215,PREPARING,DEBIT_CARD
132,ORDER_CREATED,2025-12-18 12:32:57.836 -0800,1031,207,2025-12-08 03:48:18.836 -0800,1593,CANCELLED,UPI
133,ORDER_CREATED,2025-11-27 02:42:34.836 -0800,1071,209,2025-12-09 11:58:16.836 -0800,1076,PLACED,WALLET
134,ORDER_CREATED,2025-11-30 21:15:34.836 -0800,1007,201,2025-11-27 13:31:08.836 -0800,490,PREPARING,CREDIT_CARD
135,ORDER_CREATED,2025-11-25 05:18:27.836 -0800,1063,210,2025-12-03 13:47:40.836 -0800,1658,PREPARING,CREDIT_CARD
136,ORDER_CREATED,2025-12-08 19:14:19.836 -0800,1052,211,2025-12-23 04:08:33.836 -0800,1961,PLACED,WALLET
137,ORDER_CREATED,2025-11-25 13:10:34.836 -0800,1067,209,2025-11-28 23:33:45.836 -0800,254,OUT_FOR_DELIVERY,DEBIT_CARD
138,ORDER_CREATED,2025-12-02 01:47:07.836 -0800,1084,205,2025-12-04 02:31:59.836 -0800,461,CANCELLED,UPI
139,ORDER_CREATED,2025-12-14 07:21:47.836 -0800,1068,213,2025-12-23 21:51:36.836 -0800,1477,CONFIRMED,CASH_ON_DELIVERY
140,ORDER_CREATED,2025-12-04 18:33:39.836 -0800,1066,207,2025-12-15 03:12:00.836 -0800,1776,DELIVERED,CASH_ON_DELIVERY
141,ORDER_CREATED,2025-12-20 20:42:28.836 -0800,1005,220,2025-12-04 07:41:44.836 -0800,1559,PLACED,DEBIT_CARD
142,ORDER_CREATED,2025-12-03 19:57:50.836 -0800,1078,214,2025-11-28 11:32:55.836 -0800,806,DELIVERED,UPI
143,ORDER_CREATED,2025-12-12 03:13:15.836 -0800,1100,207,2025-12-07 22:15:40.836 -0800,1612,PREPARING,CASH_ON_DELIVERY
144,ORDER_CREATED,2025-12-20 15:25:41.836 -0800,1024,220,2025-11-28 22:06:06.836 -0800,520,PLACED,WALLET
145,ORDER_CREATED,2025-12-10 17:52:46.836 -0800,1097,211,2025-11-29 15:02:03.836 -0800,707,DELIVERED,WALLET
146,ORDER_CREATED,2025-12-13 10:21:13.836 -0800,1091,220,2025-12-04 09:43:20.836 -0800,586,CANCELLED,DEBIT_CARD
147,ORDER_CREATED,2025-12-12 15:47:43.836 -0800,1070,202,2025-12-08 23:12:37.836 -0800,1791,CONFIRMED,DEBIT_CARD
148,ORDER_CREATED,2025-11-29 03:03:37.836 -0800,1065,213,2025-12-10 04:16:53.836 -0800,1084,DELIVERED,CASH_ON_DELIVERY
149,ORDER_CREATED,2025-11-24 15:33:07.836 -0800,1026,217,2025-12-14 22:31:49.836 -0800,165,OUT_FOR_DELIVERY,CASH_ON_DELIVERY
150,ORDER_CREATED,2025-12-06 13:09:49.836 -0800,1098,212,2025-12-15 03:34:21.836 -0800,333,DELIVERED,UPI
151,ORDER_CREATED,2025-12-10 12:18:22.836 -0800,1083,212,2025-12-06 11:27:07.836 -0800,1757,OUT_FOR_DELIVERY,CREDIT_CARD
152,ORDER_CREATED,2025-11-28 06:21:05.836 -0800,1093,211,2025-12-12 15:46:51.836 -0800,1222,DELIVERED,UPI
153,ORDER_CREATED,2025-12-23 16:48:28.836 -0800,1070,218,2025-12-17 01:29:19.836 -0800,1719,CANCELLED,DEBIT_CARD
154,ORDER_CREATED,2025-12-19 09:52:06.836 -0800,1017,207,2025-12-12 13:03:48.836 -0800,1504,CONFIRMED,WALLET
155,ORDER_CREATED,2025-12-21 22:54:49.836 -0800,1061,202,2025-12-16 23:48:53.836 -0800,574,OUT_FOR_DELIVERY,CASH_ON_DELIVERY
156,ORDER_CREATED,2025-12-18 07:33:33.836 -0800,1020,208,2025-12-01 06:22:07.836 -0800,1574,CONFIRMED,DEBIT_CARD
157,ORDER_CREATED,2025-12-06 03:10:46.836 -0800,1028,213,2025-12-21 07:49:42.836 -0800,882,DELIVERED,CREDIT_CARD
158,ORDER_CREATED,2025-12-18 19:48:06.836 -0800,1070,208,2025-11-25 17:08:48.836 -0800,1958,DELIVERED,CREDIT_CARD
159,ORDER_CREATED,2025-12-13 12:16:22.836 -0800,1088,204,2025-11-29 01:38:05.836 -0800,161,DELIVERED,CASH_ON_DELIVERY
160,ORDER_CREATED,2025-12-12 01:00:06.836 -0800,1072,217,2025-12-14 20:50:45.836 -0800,485,CANCELLED,WALLET
161,ORDER_CREATED,2025-12-05 07:13:26.836 -0800,1045,216,2025-11-28 15:54:02.836 -0800,781,CANCELLED,WALLET
162,ORDER_CREATED,2025-12-13 18:55:54.836 -0800,1012,209,2025-12-09 08:35:30.836 -0800,889,DELIVERED,DEBIT_CARD
163,ORDER_CREATED,2025-12-09 12:18:27.836 -0800,1067,206,2025-11-26 09:40:03.836 -0800,578,OUT_FOR_DELIVERY,UPI
164,ORDER_CREATED,2025-12-06 12:29:04.836 -0800,1085,211,2025-12-10 21:35:25.836 -0800,1800,PLACED,UPI
165,ORDER_CREATED,2025-12-07 21:00:30.836 -0800,1070,201,2025-12-06 07:02:33.836 -0800,445,PLACED,WALLET
166,ORDER_CREATED,2025-12-04 18:35:01.836 -0800,1071,203,2025-12-16 15:23:54.836 -0800,1234,PLACED,WALLET
167,ORDER_CREATED,2025-12-09 12:38:53.836 -0800,1071,216,2025-12-17 21:29:53.836 -0800,454,DELIVERED,DEBIT_CARD
168,ORDER_CREATED,2025-12-23 18:00:26.836 -0800,1018,204,2025-12-07 13:19:32.836 -0800,896,PLACED,UPI
169,ORDER_CREATED,2025-12-22 14:22:20.836 -0800,1035,205,2025-11-29 03:33:08.836 -0800,443,PREPARING,WALLET
170,ORDER_CREATED,2025-11-25 09:13:00.836 -0800,1081,218,2025-12-18 00:31:50.836 -0800,1622,CONFIRMED,DEBIT_CARD
171,ORDER_CREATED,2025-12-18 19:23:54.836 -0800,1039,215,2025-11-28 00:55:56.836 -0800,1052,OUT_FOR_DELIVERY,CREDIT_CARD
172,ORDER_CREATED,2025-12-17 23:26:05.836 -0800,1068,207,2025-12-21 20:29:41.836 -0800,1092,PLACED,DEBIT_CARD
173,ORDER_CREATED,2025-12-19 20:44:51.836 -0800,1051,205,2025-11-27 09:17:42.836 -0800,768,PLACED,DEBIT_CARD
174,ORDER_CREATED,2025-12-01 04:25:38.836 -0800,1068,213,2025-11-25 19:21:06.836 -0800,1108,CANCELLED,CREDIT_CARD
175,ORDER_CREATED,2025-12-12 08:46:31.836 -0800,1020,219,2025-12-08 11:54:26.836 -0800,318,OUT_FOR_DELIVERY,CREDIT_CARD
176,ORDER_CREATED,2025-12-10 06:35:44.836 -0800,1031,218,2025-12-15 03:38:38.836 -0800,1296,DELIVERED,WALLET
177,ORDER_CREATED,2025-11-30 19:28:41.836 -0800,1059,205,2025-12-03 21:17:01.836 -0800,1868,PLACED,WALLET
178,ORDER_CREATED,2025-12-17 21:21:46.836 -0800,1059,201,2025-11-27 07:41:12.836 -0800,1416,PREPARING,CASH_ON_DELIVERY
179,ORDER_CREATED,2025-12-19 02:36:51.836 -0800,1047,219,2025-12-14 22:25:27.836 -0800,1048,PLACED,CASH_ON_DELIVERY
180,ORDER_CREATED,2025-12-16 23:54:57.836 -0800,1050,212,2025-11-27 17:15:54.836 -0800,649,CANCELLED,UPI
181,ORDER_CREATED,2025-12-18 21:41:00.836 -0800,1065,217,2025-12-22 16:32:34.836 -0800,987,CANCELLED,CASH_ON_DELIVERY
182,ORDER_CREATED,2025-11-30 12:51:27.836 -0800,1013,206,2025-12-07 19:00:19.836 -0800,1975,PLACED,DEBIT_CARD
183,ORDER_CREATED,2025-11-27 20:43:16.836 -0800,1003,201,2025-12-22 07:37:05.836 -0800,1096,DELIVERED,CREDIT_CARD
184,ORDER_CREATED,2025-12-02 20:04:46.836 -0800,1023,203,2025-12-17 03:14:31.836 -0800,338,OUT_FOR_DELIVERY,CASH_ON_DELIVERY
185,ORDER_CREATED,2025-11-27 03:01:33.836 -0800,1059,210,2025-12-21 08:53:24.836 -0800,291,DELIVERED,WALLET
186,ORDER_CREATED,2025-12-14 19:31:48.836 -0800,1001,204,2025-12-22 21:34:09.836 -0800,631,OUT_FOR_DELIVERY,UPI
